iter	Passed	Remaining
753	19342	6310
754	19366	6284
755	19391	6258
756	19418	6233
757	19442	6207
758	19466	6181
759	19491	6155
760	19515	6129
761	19541	6103
762	19566	6077
763	19591	6051
764	19615	6025
765	19641	6000
766	19666	5974
767	19692	5948
768	19717	5923
769	19744	5897
770	19770	5872
771	19795	5846
772	19820	5820
773	19847	5795
774	19872	5769
775	19899	5744
776	19924	5718
777	19950	5692
778	19975	5667
779	20001	5641
780	20029	5616
781	20057	5591
782	20083	5566
783	20110	5540
784	20134	5514
785	20159	5488
786	20184	5463
787	20209	5437
788	20236	5411
789	20264	5386
790	20293	5361
791	20318	5336
792	20344	5310
793	20369	5284
794	20393	5258
795	20419	5233
796	20445	5207
797	20469	5181
798	20496	5156
799	20521	5130
800	20548	5105
801	20574	5079
802	20600	5053
803	20628	5028
804	20653	5003
805	20679	4977
806	20704	4951
807	20730	4926
808	20756	4900
809	20780	4874
810	20805	4848
811	20831	4823
812	20858	4797
813	20883	4771
814	20909	4746
815	20933	4720
816	20961	4695
817	20987	4669
818	21011	4643
819	21037	4618
820	21063	4592
821	21087	4566
822	21111	4540
823	21137	4514
824	21162	4489
825	21189	4463
826	21213	4437
827	21240	4412
828	21265	4386
829	21291	4360
830	21315	4335
831	21340	4309
832	21367	4283
833	21392	4257
834	21417	4232
835	21441	4206
836	21465	4180
837	21491	4154
838	21519	4129
839	21549	4104
840	21582	4080
841	21607	4054
842	21632	4028
843	21657	4003
844	21682	3977
845	21708	3951
846	21736	3926
847	21760	3900
848	21787	3875
849	21813	3849
850	21837	3823
851	21863	3797
852	21887	3771
853	21912	3746
854	21936	3720
855	21961	3694
856	21985	3668
857	22010	3642
858	22037	3617
859	22062	3591
860	22085	3565
861	22111	3539
862	22135	3513
863	22162	3488
864	22186	3462
865	22210	3436
866	22235	3411
867	22260	3385
868	22284	3359
869	22308	3333
870	22335	3307
871	22361	3282
872	22384	3256
873	22408	3230
874	22434	3204
875	22458	3179
876	22482	3153
877	22506	3127
878	22532	3101
879	22557	3076
880	22582	3050
881	22608	3024
882	22632	2998
883	22657	2973
884	22682	2947
885	22706	2921
886	22731	2895
887	22756	2870
888	22780	2844
889	22805	2818
890	22830	2792
891	22856	2767
892	22881	2741
893	22906	2716
894	22931	2690
895	22957	2664
896	22983	2639
897	23008	2613
898	23034	2587
899	23059	2562
900	23084	2536
901	23109	2510
902	23133	2485
903	23159	2459
904	23184	2433
905	23209	2408
906	23233	2382
907	23258	2356
908	23285	2331
909	23310	2305
910	23337	2279
911	23361	2254
912	23390	2228
913	23414	2203
914	23439	2177
915	23464	2151
916	23490	2126
917	23514	2100
918	23539	2074
919	23564	2049
920	23591	2023
921	23616	1997
922	23640	1972
923	23665	1946
924	23691	1920
925	23718	1895
926	23742	1869
927	23768	1844
928	23794	1818
929	23820	1792
930	23844	1767
931	23870	1741
932	23895	1715
933	23921	1690
934	23946	1664
935	23970	1639
936	23996	1613
937	24023	1587
938	24048	1562
939	24073	1536
940	24099	1511
941	24124	1485
942	24149	1459
943	24175	1434
944	24201	1408
945	24226	1382
946	24251	1357
947	24280	1331
948	24305	1306
949	24333	1280
950	24358	1255
951	24384	1229
952	24409	1203
953	24436	1178
954	24463	1152
955	24488	1127
956	24514	1101
957	24540	1075
958	24566	1050
959	24591	1024
960	24617	999
961	24642	973
962	24668	947
963	24694	922
964	24719	896
965	24745	870
966	24772	845
967	24797	819
968	24823	794
969	24848	768
970	24877	743
971	24903	717
972	24931	691
973	24957	666
974	24984	640
975	25013	615
976	25040	589
977	25066	563
978	25093	538
979	25120	512
980	25144	486
981	25168	461
982	25194	435
983	25221	410
984	25246	384
985	25273	358
986	25301	333
987	25325	307
988	25351	281
989	25376	256
990	25405	230
991	25430	205
992	25455	179
993	25479	153
994	25505	128
995	25530	102
996	25556	76
997	25580	51
998	25606	25
999	25631	0
